ILA200019   59436   56729   11656   10349   15670   15724     500     398     128     137      93      96    3083    3162     195     194
ILA200020   59999   57465   11494   10327   16000   15845     478     432     136     143      76      75    3014    3095     180     196
ILA200021   56289   53805   10728    9803   14761   14486     438     390     136     131      78      89    2880    3031     207     225
ILA200022   54481   51924   10647    9582   13042   13348     441     381     132     133      84      86    2723    2901     201     216
ILA200023   54177   50830   10546    9533   13282   13361     402     387     152     130      82      85    2638    2874     200     210
ILA200024   53155   50101   10509    9676   12452   12717     417     374     139     130      86      70    2689    3077     203     195
ILA200025   52382   50324   10175    9440   12021   12737     381     399     134     140      84      70    2635    3120     198     227
ILA200026   49418   48828    9926    9291   11794   12841     391     382     114     144      84      78    2599    3252     217     220
ILA200027   49804   50168   10962    9653   12292   13667     430     432     145     145      99      85    2861    3576     245     240
ILA200028   50139   50866   10653    9244   11921   13103     429     440     140     157     103      71    2931    3559     239     246
ILA200029   58712   60001   12553   10458   13469   15124     522     496     199     183     106      87    3681    4262     301     290
ILA200030   58205   59336   12215   10157   11731   13560     477     454     184     168     123      81    3572    4068     279     260
ILA200031   55248   56754   11944    9693   10648   12421     455     379     160     135     120      77    3505    3869     298     233
ILA200032   55428   56578   11642    9487   10816   13004     433     398     167     146     113      68    3439    3812     249     204
ILA200033   58084   59611   11429    9539   10843   13263     448     392     146     142      98      61    3271    3619     225     232
ILA200034   62569   63224   12176    9666   12328   14532     429     400     171     142     105      81    3546    3833     195     195
ILA200035   67293   68115   11438    9677   12388   14540     470     430     165     152      98      72    3518    3732     232     193
ILA200036   69341   69891   11003    9383   12207   14372     426     386     152     154      82      70    3440    3622     201     191
ILA200037   71159   71340   10905    9242   12655   15237     456     397     162     152      78      57    3542    3664     223     177
ILA200038   69635   69681    9572    8302   12129   14436     426     364     148     129      76      62    3119    3226     172     174
ILA200039   77223   76686   10859    9414   13777   16348     446     429     168     166      70      73    3611    3631     203     186
ILA200040   75808   75966    9914    8686   13166   15974     421     338     175     167      78      70    3354    3466     199     165
ILA200041   73255   73171    8890    7885   12453   15359     384     363     151     158      71      64    3244    3335     157     186
ILA200042   73264   73332    8851    7826   12132   14772     377     331     150     159      70      56    3128    3269     182     159
ILA200043   71632   72466    8121    7144   11824   14950     336     307     164     172      58      43    3086    3364     178     139
ILA200044   71745   71305    8547    7294   11906   14834     364     299     127     160      60      39    2831    3153     145     165
ILA200045   69351   69503    7690    6808   11367   14288     333     280     142     142      44      57    2792    3228     160     141
ILA200046   65545   66602    6684    6194   10036   12967     283     258     140     141      50      42    2658    3016     143     145
ILA200047   63647   65317    6397    5979    9779   12765     293     214     133     153      46      51    2840    3160     116     122
ILA200048   60411   62255    5653    5362    8573   11334     217     211     119     128      36      38    2282    2671     114     126
ILA200049   62074   63681    6132    5717   10078   13186     285     239     132     138      45      34    2674    3087     105     124
ILA200050   60202   62006    5419    5122    9141   12372     217     193     121     147      47      34    2493    2851     102     120
ILA200051   56601   58659    4937    4681    8103   11019     161     172     110     116      46      37    2266    2637      86     123
ILA200052   56170   58697    4664    4508    7753   10381     184     179     109     116      31      37    2148    2544      99     114
ILA200053   62385   65102    4585    4509    7543   10041     167     180     117     126      33      25    2108    2429      94      94
ILA200054   43666   45697    4156    3936    6152    8361     139     178     104     114      25      23    2009    2259      95      98
ILA200055   43172   45786    3704    3545    6381    8645     135     145      94     113      22      29    1875    2124      88      95
ILA200056   45020   47870    3379    3424    5994    8393     122     168      91      96      19      18    1657    1869      57      97
ILA200057   49318   52100    3331    3495    6249    8316     139     139      90      97      17      18    1678    1819      67      90
ILA200058   39809   42091    2746    2805    5202    7266     114     198      69      81      17      10    1478    1555      59      54
ILA200059   39155   41261    3018    2933    5378    7386     105     175      73      79      20      25    1649    1759      81      64
ILA200060   35806   38786    2581    2755    5230    7220     114     187      76      70      16      22    1524    1630      56      58
ILA200061   35427   37880    2582    2604    4893    6877     102     201      60      55      16      13    1357    1355      54      50
ILA200062   34466   37199    2307    2527    5031    7097     102     190      58      67      14      16    1335    1410      49      59
ILA200063   32972   35580    2290    2280    4415    6391      88     183      57      65      12      72    1234    1326      54      50
ILA200064   32701   35802    2413    2446    4876    6857     100     114      54      58      15      70    1193    1364      43      53
ILA200065   32273   35520    2242    2316    4732    6804      95     133      53      64      13      72    1095    1312      40      55
ILA200066   29400   32821    2029    2095    4560    5870      88     101      40      56       8      56     998    1162      25      57
ILA200067   28986   32572    2021    1987    4268    6022      94      99      44      52       7      61     940    1200      26      53
ILA200068   27885   32952    1724    1818    3852    5204      80     101      47      45      11      47     880    1043      42      47
ILA200069   29629   35412    1789    1897    3958    5434      72      99      41      44       9      12     798    1111      34      43
ILA200070   28716   33894    1584    1619    3588    5232      80      93      47      48       9       6     738     959      18      36
ILA200071   27603   33813    1552    1593    3287    4738      57      80      48      40       4      11     627     891      22      26
ILA200072   28182   35069    1443    1605    3267    4717      61      74      46      50      11       9     620     884      19      52
ILA200073   25500   33496    1146    1394    3043    4452      50      71      38      37       5      11     523     785      18      71
ILA200074   24292   32595    1121    1318    2877    4287      57      61      31      40       6      19     480     782      21      62
ILA200075   24446   33363    1106    1271    2670    4032      50      55      30      43       7      11     471     758      16      63
ILA200076   23303   32196    1083    1172    2308    3493      46      39      28      39       7      13     412     648      16      64
ILA200077   21579   31189     932    1137    2208    3511      43      50      35      38       6      14     433     622      24      73
ILA200078   21266   31937     808    1019    2065    3570      40      52      36      29       3       8     360     582      13      39
ILA200079   19827   30152     743    1028    2037    3296      35      42      27      37       4       6     325     557      14      31
ILA200080   17057   27637     603     891    1658    2936      33      49      18      29       3       4     285     439       9      23
ILA200081   15117   25724     482     798    1366    2407      27      30      24      19       2       3     247     349       6      25
ILA200082   13272   23684     459     755    1086    2050      11      30      20      18       1       3     178     287       2      26
ILA200083   11994   22359     373     635     944    1873      16      28      15      20       2       2     168     279       7      22
ILA200084   10323   20511     332     568     812    1713      11      26      15      25       2       4     149     265       8      24
ILA200085   44024  120919    1875    3878    4461   10517      46     150      90     209       7      19     305     988      23     115
ILA2005 0   50993   48443   14762   14112   18465   17860     711     675     100     101     103     102    3649    3511     256     252
ILA2005 1   50531   48000   14399   13750   17915   17348     683     650      99      98      98      95    3533    3359     247     240
ILA2005 2   50623   48025   14182   13514   17793   17143     674     637     100     100      96      94    3529    3385     246     241
ILA2005 3   50785   48192   13964   13300   17552   17002     661     629     102     102      95      93    3533    3410     245     242
ILA2005 4   51655   49028   13932   13263   17913   17338     670     636     105     104      94      92    3549    3413     247     241
ILA2005 5   51929   49256   13760   13044   17702   17099     659     623     106     115      94      90    3559    3406     248     241
ILA2005 6   52289   49712   13542   12837   17390   16750     644     605     105     114      91      87    3476    3363     242     236
ILA2005 7   52768   50133   13406   12654   17332   16834     637     604     107     114      90      86    3488    3350     241     233
ILA2005 8   51276   48692   12669   11975   16577   15996     604     570     104     112      86      82    3360    3246     231     227
ILA2005 9   55500   52553   13321   12567   18002   17313     649     613     114     120      91      88    3601    3432     248     240
ILA200510   57343   54558   13373   12653   18093   17540     651     621     118     124      93      90    3715    3560     256     251
ILA200511   55695   52849   14328   13455   17786   17073     444     464     120     117      35      53    3625    3522     120     157
ILA200512   55376   52981   13866   12908   18342   17400     460     576     112     114     106      78    3736    3636     203     208
ILA200513   58126   55363   13210   12778   16233   15772     890    1015     114     116      55      73    3926    3644     354     424
ILA200514   56907   53879   12784   12006   18614   17781     784     784     105     121      57      87    3696    3580     223     224
ILA200515   58469   55345   12784   11823   16613   15963     593     561     150     151     119     112    3575    3428     229     244
ILA200516   56687   53457   12161   11133   16276   15620     573     503     151     133     103     112    3429    3204     238     241
ILA200517   56971   53325   12319   11252   15786   14887     584     524     150     142     119     129    3436    3383     240     237
ILA200518   55171   52285   11671   10838   14775   14198     536     492     141     122      88      94    3112    3095     213     227
ILA200519   58224   55536   12464   11369   15016   14942     556     492     133     131     103     114    3335    3362     210     205
ILA200520   59145   56673   12344   11418   14563   14598     526     508     145     135      95      91    3249    3375     234     226
ILA200521   56688   54613   12201   10973   13786   14006     486     446     140     144      99      95    3347    3435     238     231
ILA200522   57463   55445   12340   11002   13280   13712     504     425     150     137      89     100    3349    3504     236     208
ILA200523   57482   55983   12073   10752   13444   14048     529     473     148     150      94      97    3220    3531     232     236
ILA200524   58171   56795   12585   11204   13316   14361     515     449     153     159     109     114    3382    3782     236     244
ILA200525   57455   56711   12126   11057   13562   14577     489     483     157     171     101      94    3273    3759     221     246
ILA200526   54119   53849   11363   10677   12630   13582     474     457     146     154     100     102    3104    3713     236     271
ILA200527   53625   52882   11416   10665   11855   13039     488     474     141     155     106      99    3153    3742     242     259
ILA200528   50832   49468   10703   10120   11378   12186     424     433     142     140      94      90    2895    3464     217     237
ILA200529   53299   51561   11260   10856   12140   13007     485     459     144     150     107      82    3375    4023     244     241
ILA200530   52553   51615   10766   10451   11280   12614     432     451     133     140      92      77    3240    3933     221     253
ILA200531   49124   49032   10302    9970   10911   12406     407     412     117     141      94      83    3214    4021     235     245
ILA200532   49406   50291   11141   10227   11350   13196     426     447     140     139     107      89    3451    4243     250     260
ILA200533   52338   53597   11301   10192   11669   13470     448     486     140     151     113      79    3594    4359     257     274
ILA200534   58227   59389   12554   10704   12433   14365     515     511     181     163     112      88    4110    4641     300     292
ILA200535   58129   59207   12241   10447   11355   13220     494     481     173     154     129      84    4064    4470     287     270
ILA200536   55309   56729   11937    9968   10200   12112     469     408     148     123     116      76    3816    4110     290     232
ILA200537   55527   56552   11636    9780   10651   12903     463     436     156     133     111      70    3781    4106     248     212
ILA200538   54890   56110   10792    9259    9999   12230     441     397     131     123      92      60    3430    3652     213     222
ILA200539   63057   63730   12231   10061   12303   14483     464     435     162     139     105      83    3878    4125     199     202
ILA200540   66290   67243   11308    9859   11817   14137     477     450     154     146      96      73    3735    3984     228     198
ILA200541   68025   68860   10825    9521   11614   13938     437     411     147     151      84      72    3724    3953     208     200
ILA200542   69168   69713   10678    9275   11690   14309     462     400     148     142      76      58    3629    3798     217     175
ILA200543   70341   71033    9783    8706   12017   14655     461     398     151     139      81      70    3547    3832     191     196
ILA200544   73777   73511   10475    9256   12382   14939     443     420     139     138      62      66    3365    3529     183     171
ILA200545   72500   73029    9578    8586   11955   14901     421     340     151     145      72      66    3301    3513     187     159
ILA200546   69592   69996    8540    7768   11095   14176     371     350     129     135      64      59    3130    3290     146     173
ILA200547   69479   70489    8452    7754   11333   14491     374     341     140     147      69      56    3263    3440     183     161
ILA200548   66185   67698    7567    6887    9863   13086     298     273     131     135      50      37    2766    3005     152     122
ILA200549   68561   69462    8233    7304   11206   14653     363     301     127     154      63      41    3103    3438     154     175
ILA200550   66220   67477    7442    6789   10366   13647     321     272     130     130      44      54    2822    3239     157     141
ILA200551   61868   63795    6421    6136    9241   12303     276     250     124     126      50      40    2573    2938     135     143
ILA200552   59645   61914    6131    5859    8438   11357     267     203     109     127      43      45    2491    2881     100     113
ILA200553   59237   61697    5701    5496    8406   11467     226     228     107     116      38      37    2229    2668     109     126
ILA200554   56379   59041    5736    5494    8567   11857     257     230     106     117      41      31    2349    2828      92     116
ILA200555   53860   56726    5005    4887    8340   11657     211     197     100     124      44      32    2260    2678      92     114
ILA200556   53683   56603    4845    4710    7219   10648     154     185      91      97      41      33    2060    2483      79     115
ILA200557   53426   56747    4583    4573    7241   10180     183     186      93     101      29      35    2061    2464      93     110
ILA200558   55226   58524    4180    4263    6022    8437     143     238      88      98      28      22    1830    2151      80      83
ILA200559   40129   42442    3929    3855    5239    7483     128     250      85      94      23      21    1923    2164      86      91
ILA200560   39478   43086    3506    3541    5275    7695     121     216      74      92      20      25    1732    2014      78      85
